Ngram	Surprisal
on the	11.1465918865
the bowl	15.5285357442
bowl anyway	29.1662375175
anyway so	22.8851850484
so that	14.7524229306
that it	12.4037360228
it is	11.8068153819
is made	14.8094147308
made him	18.0364943232
him angry	21.6060250856
angry .	22.2622219868
. And	9.91861258478
And here	19.421518111
here comes	21.6204012098
comes the	21.3599808896
the president	14.3236624445
president and	22.6022080433
and the	9.96015810702
the other	10.8331735591
other man	19.1756790519
man who	17.4179897901
who probably	20.3914860929
probably probably	24.9308418092
probably test	26.0294540979
test the	21.1976246965
the eating	16.8148896571
eating machine	28.5412372562
machine or	23.4412451691
or the	14.4700036155
the feeding	16.5745042994
feeding machine	29.1558649587
machine .	20.626585233
. And	9.91861258478
And he	16.9581541072
he chooses	19.2978745684
chooses the	26.5934335291
the worker	15.7162773684
worker who	24.1368860636
who is	15.7681261832
is sort	18.4088322553
sort of	16.6291090273
of doing	14.5530208119
doing some	21.142447691
some mischief	23.3314050944
mischief And	30.8884355565
And they	17.3500102568
they put	17.3995384959
put him	19.3179922757
him into	17.8745474376
into the	14.0021324625
the machine	13.8278910635
machine and	21.8095566478
and asked	14.7460997417
asked him	19.3085646475
him to	15.5434464616
to and	14.3521268906
and instruct	19.1098351064
instruct him	28.8300063787
him and	16.2520627957
and tell	15.1088858918
tell him	19.0629863041
him how	19.1273104061
how it	17.6106853646
it is	11.8068153819
is working	16.5870784302
working ,	20.19804867
, how	12.6084940025
how is	19.9273599224
is how	15.8025876426
how it	17.6106853646
it will	13.8111988132
will work	17.9665278007
work and	17.311630006
and he	11.9925890526
he looks	17.7503120597
looks sort	25.2647103321
sort of	16.6291090273
of frightened	19.0849875939
frightened .	23.1748139224
. And	9.91861258478
And the	16.4617704132
the president	14.3236624445
president and	22.6022080433
and all	13.0265893262
all the	13.8126642091
the workers	14.637177894
workers are	21.0762027759
are observing	21.1741108109
observing him	28.2727150149
him .	14.6173386049
. And	9.91861258478
And the	16.4617704132
the bowl	15.5285357442
bowl a	26.7890229886
a bowl	15.9832439441
bowl of	22.9986541384
of soup	17.1307091952
soup is	26.816054612
is lifted	18.9100884281
lifted up	24.2857593666
up to	14.3728385716
to him	12.7117417423
him and	16.2520627957
and he	11.9925890526
he can	15.5470641566
can eat	19.3900678949
eat it	21.7779612452
it and	14.2320042316
and then	11.83165485
then something	20.5206091966
something wipes	26.0517327033
wipes his	30.8252043282
his mouth	16.3336408629
mouth .	20.3342269028
. And	9.91861258478
And then	16.6886818524
then a	17.5996468181
a the	17.1424808546
the table	12.6870542556
table turns	27.2622925347
turns and	24.3541783153
and it	11.8170215291
it is	11.8068153819
is time	16.6496489566
time for	16.5162714984
for some	14.3947331483
some small	19.3648939037
small pieces	21.2383645775
pieces of	20.7255933435
of meat	15.9701659488
meat or	24.5625729101
or something	15.809539712
something .	17.8631050356
. And	9.91861258478
And he	16.9581541072
he looks	17.7503120597
looks at	20.5890816824
at it	15.6031674981
it then	16.2472803169
then it	16.8609149586
it wipes	22.5314144779
wipes his	30.8252043282
his mouth	16.3336408629
mouth again	24.4392287595
again ...	25.9312831177
... And	36.8
And then	16.6886818524
then t	23.2614492205
t here	27.4895215537
here is	18.1221635441
is a	11.7921622691
a corn	17.9185156949
corn ,	25.0933639008
, some	12.2129451662
some corn	24.2476958262
corn and	25.4443408236
and it	11.8170215291
it spins	21.6151237461
spins which	31.8648536864
which helps	18.5761142462
helps him	25.1279471622
him eat	21.9574229724
eat it	21.7779612452
it It	20.659612301
It moves	21.1905881043
moves rather	28.6989033248
rather quickly	22.9859304617
quickly now	24.7122562835
now so	19.3800799365
so he	16.7701572717
he has	14.5647021363
has no	16.3106015162
no time	17.6478391364
time to	15.5901363342
to ,	13.243903344
, to	10.6095350974
to swallow	16.4996837258
swallow .	25.9139851929
. And	9.91861258478
And something	21.3819002926
something has	21.2602290918
has gone	16.8622320037
gone wrong	21.2971423778
wrong probably	27.188739482
probably .	20.8589701028
. They	10.0670927335
They try	21.8957719515
try to	17.98472799
to ,	13.243903344
, to	10.6095350974
to make	11.6274466427
make it	16.8959654087
it stop	20.0056858336
stop but	24.2145673733
but it	14.152694403
it is	11.8068153819
is impossible	16.0126867643
impossible and	23.8593527285
and he	11.9925890526
he gets	16.9433297365
gets corn	27.9090159859
corn everywhere	29.9009968941
everywhere .	22.2195554375
. And	9.91861258478
And his	19.3903982023
his head	15.1323705707
head is	20.7546640419
is bping	23.0325424105
bping .	36.8
. And	9.91861258478
And there	17.5339261323
there are	14.3977169044
are ,	15.0271699324
, and	8.45410777288
and then	11.83165485
then it	16.8609149586
it suddenly	18.3417597359
suddenly stops	25.7828340554
stops .	24.0850742504
. And	9.91861258478
And then	16.6886818524
then it	16.8609149586
it starts	17.5409818912
starts again	25.1319979086
again And	25.9312831177
And there	17.5339261323
there are	14.3977169044
are flames	23.7924873966
flames coming	27.4241695614
coming up	19.9020941112
up from	16.8135236606
from the	12.2188960053
the machine	13.8278910635
machine and	21.8095566478
and one	13.1878546229
one of	13.4495136044
of the	8.38603786038
the engineers	16.409424549
engineers tries	29.3527384117
tries to	22.1918597839
to help	12.7732658577
help him	19.7906017235
him .	14.6173386049
. He	9.28639640562
He is	16.1635184442
is tried	20.3451729534
tried to	18.1259249643
to tries	22.0624992906
tries to	22.1918597839
to get	11.7374455298
get it	17.1991989289
it away	16.3702071562
away from	16.7425988668
from him	16.3236895645
him .	14.6173386049
. It	9.09873413507
It just	18.2211237575
just keeps	21.790969749
keeps on	24.6137915734
on going	18.2481329703
going .	18.2698173814
. And	9.91861258478
And he	16.9581541072
he yells	21.8517740897
yells to	31.7915054807
to his	12.3056526092
his colleague	18.8591327928
colleague to	26.1854206489
to do	11.4332178274
do something	16.7311830409
something but	21.381065565
but it	14.152694403
it just	15.7301314435
just keeps	21.790969749
keeps on	24.6137915734
on attacking	20.6172078046
attacking him	27.5008704315
him And	24.2087147711
And then	16.6886818524
then it	16.8609149586
it wipes	22.5314144779
wipes his	30.8252043282
his mouth	16.3336408629
mouth .	20.3342269028
. Eh	14.5669298722
Eh ,	24.7116678529
, one	11.6454401317
one of	13.4495136044
of the	8.38603786038
the workers	14.637177894
workers tries	27.3599708344
tries We	29.2554054621
We start	21.2251036391
start with	19.6184498312
with the	11.7421194262
the soup	16.0234722551
soup again	28.6618813025
again .	16.3089972735
. It	9.09873413507
It says	18.2461491251
says .	17.9379637913
. So	10.6390140518
So he	18.8492061333
he trying	20.1088047846
trying the	22.9623044632
the soup	16.0234722551
soup and	25.0069034001
and the	9.96015810702
the plate	15.2845890652
plate flips	28.6962338882
flips over	31.2845334262
over so	20.4881541899
so he	16.7701572717
he gets	16.9433297365
gets the	21.6797214876
the soup	16.0234722551
soup all	29.7398128473
all over	15.837855489
over him	18.8073262813
him and	16.2520627957
and wipes	19.9083428026
wipes his	30.8252043282
his mouth	16.3336408629
mouth again	24.4392287595
again And	25.9312831177
And one	19.3050130308
one of	13.4495136044
of the	8.38603786038
the engineers	16.409424549
engineers left	29.3527384117
left a	19.5199384909
a bowl	15.9832439441
bowl again	28.0883059728
again with	19.5142122119
with some	15.0222159885
some soup	21.9451107333
soup and	25.0069034001
and then	11.83165485
then it	16.8609149586
it gets	16.5412007127
gets thrown	25.9837865808
thrown over	24.5839685484
over him	18.8073262813
him again	18.2477094314
again .	16.3089972735
. And	9.91861258478
And then	16.6886818524
then ,	15.6628828208
, wipes	19.4657075842
wipes his	30.8252043282
his mouth	16.3336408629
mouth .	20.3342269028
. And	9.91861258478
And the	16.4617704132
the other	10.8331735591
other work	19.6588531444
work and	17.311630006
and the	9.96015810702
the other	10.8331735591
other engineer	24.2539729945
engineer tries	29.2600795812
tries to	22.1918597839
to get	11.7374455298
get it	17.1991989289
it to	13.6938784318
to work	12.6952794229
work and	17.311630006
and accidentally	19.2723540359
accidentally puts	30.5553795312
puts some	26.5989048185
some eh	24.9201622629
eh ,	23.4392746237
, metal	16.8898291562
metal things	27.0999223873
things so	21.5917926453
so he	16.7701572717
he is	14.3315395332
is eating	19.497875093
eating metal	28.5412372562
metal ,	22.8585956348
, he	10.2679170618
he is	14.3315395332
is forced	17.5601617111
forced to	19.6955876599
to eat	14.1609189762
eat metal	27.9818389305
metal .	22.7626316465
. Then	11.3863555293
Then wipes	26.7768661913
wipes his	30.8252043282
his mouth	16.3336408629
mouth again	24.4392287595
again .	16.3089972735
. And	9.91861258478
And then	16.6886818524
then ,	15.6628828208
, comes	15.4077306662
comes the	21.3599808896
the cake	14.8264198936
cake .	22.6551774247
. Which	13.1197927789
Which is	21.4599135962
is thrown	18.7765570355
thrown in	23.4148424754
in his	12.1298916747
his face	15.5906218523
face .	17.8681096316
. And	9.91861258478
And the	16.4617704132
the machine	13.8278910635
machine is	22.1228282304
is gone	17.8658373486
gone into	20.6200986048
into work	20.1227898015
work again	20.7006061186
again so	21.4301752846
so the	16.3165542117
the ,	12.5642228615
, the	8.87073852331
the mouth	14.3491879872
mouth wiper	27.7507525257
wiper ,	32.005079581
, the	8.87073852331
the wiping	20.2380659455
wiping thing	30.7780479103
thing is	18.6769339192
is hitting	19.6859273245
hitting him	26.1162016226
him in	16.304195376
in the	9.36353298464
the face	13.0607925647
face and	19.03725846
and then	11.83165485
then he	17.012117686
he falls	19.6388011554
falls over	25.5085200848
over .	15.7140854674
. It	9.09873413507
It is	13.6332119098
is no	13.3973639749
no good	17.6132189357
good .	17.08188108
. It	9.09873413507
It is	13.6332119098
is not	12.3560193665
not practical	19.7532355712
practical says	27.947913214
says the	18.5416980567
the president	14.3236624445
president of	20.9861694468
of the	8.38603786038
the company	11.8862978632
company and	19.4168861938
and walks	17.9008747606
walks away	25.9678149743
away .	16.9706442256
. That	10.6275707015
That is	17.1988787907
is the	12.0342989729
the end	11.1277300878
end of	15.9568135673
of it	12.0996723246
it .	12.1004211914
. No	11.0314854497
No ,	16.2599190878
, and	8.45410777288
and time	15.1490219368
time marches	22.9795237965
marches on	27.7904858906
on into	17.9604508979
into the	14.0021324625
the late	12.7529485189
late afternoon	21.3864950565
afternoon .	20.3589694501
. The	8.06494629967
The guy	18.8799015019
guy without	29.0918249201
without a	18.0380868256
a shirt	17.357137792
shirt is	26.0515064721
is called	15.460857026
called again	22.5901282347
again and	18.1030301353
and he	11.9925890526
he starts	18.6443926442
starts something	28.5453043691
something again	23.7698283542
again So	25.9312831177
So ,	17.6077825277
, they	10.7560775023
they are	13.7669087777
are back	18.3408974669
back on	17.1826840015
on the	11.1465918865
the conveyor	18.004473724
conveyor belt	27.8250914198
belt ,	23.7410106178
, conveyor	20.3130054446
conveyor belt	27.8250914198
belt and	24.1697325881
and one	13.1878546229
one of	13.4495136044
of the	8.38603786038
the workers	14.637177894
workers is	22.7855317282
is working	16.5870784302
working way	26.6167182972
way too	21.1818705217
too slowly	21.7331290593
slowly and	21.7214447283
and gets	16.7728485867
gets yelled	27.9090159859
yelled at	25.8709587334
at and	17.8985009277
and ,	11.9315566301
, and	8.45410777288
and his	12.2461362136
his boss	18.9520789053
boss shows	28.8744171004
shows him	23.3232399629
him where	19.9673880185
where he	16.6597656767
he needs	17.6135353478
needs to	18.5890643193
to be	9.93973307416
be in	14.2888650382
in order	13.0642310248
order to	17.0368474087
to gear	19.1387410554
gear him	29.3688585074
him up	17.7195098397
up And	23.224931335
And he	16.9581541072
he has	14.5647021363
has to	15.2026792212
to struggle	16.3179889318
struggle to	22.1635687544
to be	9.93973307416
be there	15.8874304646
there .	14.718948415
. And	9.91861258478
And he	16.9581541072
he must	16.1073982181
must sit	22.294757887
sit and	21.842767293
and we	12.4487479238
we have	14.3628080201
have to	13.1484810531
to he	17.0792337286
he goes	16.6532770584
goes down	21.6237073341
down and	17.0008636174
and he	11.9925890526
he is	14.3315395332
is crazy	19.1019794359
crazy ,	24.3336520909
, you	10.4856972388
you see	14.3904526991
see So	25.2129270335
So he	18.8492061333
he is	14.3315395332
is going	14.7354569878
going down	19.0422028723
down with	18.2840207032
with the	11.7421194262
the other	10.8331735591
other machine	22.6445350821
machine And	27.8025910598
And he	16.9581541072
he ca	17.0871611293
ca not	25.8795976482
not to	14.0433515304
to stop	13.539734472
stop to	21.5631642079
to do	11.4332178274
do the	15.9025724787
the movements	15.6841890539
movements that	24.4919030393
that he	12.5033222193
he is	14.3315395332
is been	21.1073130054
been doing	17.3792416339
doing all	20.7609780884
all day	16.9482081132
day and	18.0818234538
and he	11.9925890526
he is	14.3315395332
is going	14.7354569878
going back	18.6456820198
back up	18.5198343623
up the	14.7614026682
the machine	13.8278910635
machine .	20.626585233
. Just	12.2647156762
Just there	24.0454293273
there ,	15.0941055789
, running	14.7357945116
running backwards	25.2840746992
backwards .	23.7511205561
. He	9.28639640562
He comes	19.9891825404
comes up	20.9021477959
